# Tempo	Potencial
0	137.976
1	132.982
2	127.168
3	118.819
4	111.156
5	106.325
6	101.858
7	101.706
8	97.1184
9	91.2348
10	88.6368
11	89.9449
12	87.5358
13	87.4932
14	87.7598
15	85.6742
16	89.2927
17	93.3312
18	88.6735
19	89.1206
20	87.8037
21	86.1098
22	87.6055
23	86.5681
24	85.4353
25	85.7989
26	82.4153
27	84.3071
28	84.3427
29	86.7791
30	86.0005
31	87.2525
32	92.6703
33	92.6953
34	96.6823
35	96.5201
36	95.6537
37	92.355
38	94.7289
39	98.3364
40	97.5913
41	94.8016
42	92.5282
43	90.8419
44	90.9749
45	92.1481
46	85.8581
47	86.4328
48	82.0834
49	83.0048
50	81.933
51	85.092
52	88.4163
53	88.483
54	93.0846
55	92.4845
56	89.5068
57	86.1685
58	86.9272
59	85.8137
60	84.8998
61	81.4101
62	83.5723
63	85.8629
64	87.9277
65	91.4534
66	90.494
67	88.3164
68	90.2914
69	88.985
70	90.8474
71	89.1771
72	88.8197
73	90.7669
74	91.1086
75	92.8699
76	93.3136
77	88.3157
78	88.6447
79	92.5469
80	90.5738
81	90.0459
82	91.0149
83	96.2658
84	98.8111
85	96.7662
86	94.3839
87	94.3231
88	91.5114
89	92.0091
90	93.2855
91	93.9922
92	91.0629
93	90.39
94	94.1591
95	91.2091
96	93.0992
97	95.6235
98	90.9609
99	89.9227
100	93.1397
101	93.6423
102	94.3289
103	95.7135
104	93.4458
105	94.0161
106	94.278
107	98.1559
108	99.3491
109	98.2102
110	100.875
111	99.0117
112	96.9867
113	96.1589
114	97.4598
115	96.4453
116	93.0682
117	97.7758
118	97.6708
119	95.4253
120	96.0592
121	94.6143
122	99.1787
123	94.4494
124	94.5272
125	93.0474
126	94.7435
127	91.5099
128	92.4335
129	96.0366
130	94.2737
131	93.1485
132	92.0056
133	88.9507
134	93.7032
135	91.5441
136	94.8045
137	95.5548
138	93.0939
139	94.1683
140	95.3662
141	94.5437
142	97.6127
143	94.0678
144	90.8896
145	91.0077
146	91.4078
147	91.0796
148	96.6181
149	95.7845
150	95.0161
151	94.708
152	95.1569
153	94.1873
154	95.3639
155	96.8832
156	96.6086
157	100.068
158	99.1596
159	95.4297
160	97.3247
161	98.4955
162	98.3129
163	96.9843
164	91.42
165	92.419
166	95.3763
167	93.3538
168	91.5221
169	89.3378
170	88.0648
171	86.1721
172	86.5001
173	80.2556
174	84.7388
175	83.8029
176	88.6743
177	88.4219
178	90.1338
179	94.2978
180	94.4531
181	96.0211
182	96.1892
183	93.4052
184	90.8638
185	91.7692
186	94.1056
187	94.8865
188	90.4904
189	89.3075
190	88.1823
191	86.9459
192	87.4858
193	85.2368
194	86.7743
195	86.7773
196	90.4539
197	89.0139
198	86.8904
199	86.512
200	87.8663
201	85.2774
202	86.3947
203	86.9352
204	88.8869
205	86.4154
206	89.4899
207	89.0492
208	88.1
209	87.4377
210	88.5327
211	88.9556
212	91.2992
213	94.3262
214	93.9773
215	91.965
216	92.2517
217	93.274
218	97.4908
219	99.1721
220	101.184
221	102.854
222	102.275
223	96.3024
224	96.7142
225	97.0993
226	92.4842
227	93.5326
228	94.2083
229	90.2162
230	92.7203
231	88.6128
232	91.66
233	89.5334
234	87.2382
235	89.525
236	85.3225
237	87.8767
238	88.9146
239	87.7141
240	90.8794
241	92.5141
242	91.6361
243	88.97
244	88.6792
245	85.1781
246	80.9975
247	83.3034
248	86.625
249	84.1127
250	87.0654
251	89.516
252	88.5441
253	88.5953
254	88.2661
255	91.5737
256	90.1191
257	90.154
258	91.8665
259	95.0162
260	91.1366
261	93.5856
262	97.8831
263	99.2842
264	96.559
265	96.3372
266	97.0949
267	95.1686
268	94.8719
269	96.9557
270	99.5312
271	100.727
272	101.194
273	98.9617
274	97.39
275	101.362
276	101.238
277	101.503
278	93.3729
279	95.2438
280	93.7221
281	94.5432
282	92.289
283	90.9132
284	88.9657
285	90.3109
286	89.4379
287	88.3917
288	87.2637
289	90.4071
290	94.0918
291	92.4716
292	94.9533
293	96.4063
294	93.4735
295	89.8725
296	90.4888
297	92.5829
298	91.6915
