# Longevidade	Quantidade
0	0.000666667
0.0108659	0.00133333
0.0115179	0.002
0.0141981	0.00266667
0.014343	0.00333333
0.0166611	0.004
0.0199208	0.00466667
0.0219491	0.00533333
0.022746	0.006
0.0228909	0.00666667
0.0239774	0.00733333
0.025716	0.008
0.0264404	0.00866667
0.0291931	0.00933333
0.0295553	0.01
0.0302072	0.011
0.030497	0.012
0.0321631	0.0126667
0.0324529	0.0133333
0.0326702	0.014
0.0343363	0.0146667
0.034626	0.0153333
0.0348434	0.016
0.0349882	0.0166667
0.0350607	0.0173333
0.035278	0.018
0.0353504	0.0186667
0.0361473	0.0193333
0.0365095	0.02
0.0367268	0.0206667
0.0370165	0.0213333
0.0374512	0.022
0.0383204	0.0226667
0.0391897	0.0233333
0.039407	0.024
0.0406385	0.0246667
0.0407109	0.0253333
0.0410007	0.026
0.0425944	0.0266667
0.0442605	0.0273333
0.0451298	0.028
0.0452022	0.0286667
0.0457817	0.0293333
0.0459266	0.03
0.0464337	0.0306667
0.046651	0.0313333
0.0470132	0.032
0.0470856	0.0326667
0.0478825	0.0333333
0.0480273	0.034
0.0493312	0.0346667
0.051432	0.0356667
0.0528808	0.0366667
0.053243	0.0373333
0.0538225	0.038
0.0538949	0.0386667
0.0549815	0.0393333
0.0552713	0.04
0.0557059	0.0406667
0.0557783	0.0413333
0.0558508	0.042
0.0575893	0.0426667
0.0586035	0.0433333
0.0596901	0.044
0.0604869	0.0446667
0.0611389	0.0453333
0.0615735	0.046
0.0631672	0.0466667
0.0634569	0.0473333
0.0640364	0.048
0.0646884	0.0486667
0.0654852	0.0493333
0.0661372	0.05
0.0662096	0.0506667
0.0676584	0.0516667
0.0678757	0.0526667
0.0713528	0.0533333
0.0714977	0.054
0.0720048	0.055
0.0725843	0.056
0.0733811	0.0566667
0.0735984	0.0573333
0.0745402	0.058
0.0752645	0.0586667
0.0755543	0.0593333
0.0759165	0.06
0.0761338	0.0606667
0.0766409	0.0613333
0.0770755	0.062
0.0774377	0.0626667
0.077655	0.0633333
0.0786692	0.064
0.0793936	0.0646667
0.0801904	0.0653333
0.0807699	0.066
0.081277	0.0666667
0.0814943	0.0673333
0.0826534	0.068
0.0836675	0.0686667
0.0846092	0.0693333
0.0851163	0.07
0.086058	0.0706667
0.0864202	0.0713333
0.0865651	0.072
0.0866375	0.0726667
0.0870722	0.0733333
0.0872895	0.074
0.0875792	0.0746667
0.0884485	0.0753333
0.08968	0.076
0.0900422	0.0766667
0.0902595	0.0773333
0.0913461	0.078
0.0914185	0.0786667
0.0928673	0.0793333
0.0936642	0.08
0.0937366	0.0806667
0.0940264	0.0813333
0.0945334	0.082
0.0947508	0.0826667
0.0948232	0.0836667
0.0949681	0.0846667
0.0954751	0.0853333
0.0961995	0.086
0.0965617	0.0866667
0.09859	0.0873333
0.0991696	0.088
0.0993144	0.0886667
0.0993869	0.0893333
0.0998939	0.09
0.102502	0.0906667
0.102936	0.0913333
0.10424	0.092
0.105544	0.0926667
0.106341	0.0933333
0.106776	0.094
0.107065	0.0946667
0.10779	0.0956667
0.107862	0.0966667
0.10808	0.0973333
0.108442	0.098
0.110035	0.0986667
0.111339	0.0993333
0.111991	0.1
0.112064	0.100667
0.113368	0.101667
0.114309	0.102667
0.115903	0.103333
0.11612	0.104
0.116627	0.104667
0.118511	0.105333
0.118656	0.106
0.119525	0.106667
0.120539	0.107333
0.120756	0.108
0.121119	0.108667
0.12264	0.109333
0.123002	0.11
0.123654	0.110667
0.12858	0.111667
0.129377	0.112667
0.130681	0.113333
0.131115	0.114
0.13481	0.114667
0.135969	0.115333
0.136476	0.116
0.136838	0.117333
0.138649	0.118667
0.138721	0.119333
0.138794	0.12
0.138939	0.120667
0.139084	0.121333
0.140388	0.122
0.140677	0.122667
0.141112	0.123333
0.141257	0.124333
0.141329	0.125333
0.143358	0.126
0.145024	0.126667
0.145096	0.127333
0.145893	0.128
0.14669	0.128667
0.147342	0.129333
0.148139	0.13
0.148935	0.130667
0.149732	0.131333
0.150022	0.132
0.151253	0.132667
0.152485	0.133333
0.152992	0.134
0.154658	0.134667
0.156759	0.135333
0.160671	0.136
0.161178	0.136667
0.161757	0.137333
0.163496	0.138
0.163858	0.138667
0.165959	0.139333
0.166321	0.14
0.166393	0.140667
0.168494	0.141333
0.169726	0.142
0.170377	0.142667
0.170522	0.143333
0.171029	0.144
0.173275	0.144667
0.173565	0.145333
0.173855	0.146
0.173927	0.146667
0.174072	0.147333
0.176245	0.148
0.177042	0.148667
0.177259	0.149333
0.178129	0.15
0.178491	0.150667
0.178563	0.151333
0.179432	0.152
0.179722	0.152667
0.181606	0.153333
0.181823	0.154
0.182475	0.154667
0.18262	0.155333
0.183634	0.156
0.184069	0.156667
0.185517	0.157333
0.186242	0.158333
0.186604	0.159333
0.187183	0.16
0.187835	0.160667
0.189067	0.161333
0.189284	0.162
