# x	Exp
0	1
0.01	0.99005
0.02	0.980199
0.03	0.970446
0.04	0.960789
0.05	0.951229
0.06	0.941765
0.07	0.932394
0.08	0.923116
0.09	0.913931
0.1	0.904837
0.11	0.895834
0.12	0.88692
0.13	0.878095
0.14	0.869358
0.15	0.860708
0.16	0.852144
0.17	0.843665
0.18	0.83527
0.19	0.826959
0.2	0.818731
0.21	0.810584
0.22	0.802519
0.23	0.794534
0.24	0.786628
0.25	0.778801
0.26	0.771052
0.27	0.763379
0.28	0.755784
0.29	0.748264
0.3	0.740818
0.31	0.733447
0.32	0.726149
0.33	0.718924
0.34	0.71177
0.35	0.704688
0.36	0.697676
0.37	0.690734
0.38	0.683861
0.39	0.677057
0.4	0.67032
0.41	0.66365
0.42	0.657047
0.43	0.650509
0.44	0.644036
0.45	0.637628
0.46	0.631284
0.47	0.625002
0.48	0.618783
0.49	0.612626
0.5	0.606531
0.51	0.600496
0.52	0.594521
0.53	0.588605
0.54	0.582748
0.55	0.57695
0.56	0.571209
0.57	0.565525
0.58	0.559898
0.59	0.554327
0.6	0.548812
0.61	0.543351
0.62	0.537944
0.63	0.532592
0.64	0.527292
0.65	0.522046
0.66	0.516851
0.67	0.511709
0.68	0.506617
0.69	0.501576
0.7	0.496585
0.71	0.491644
0.72	0.486752
0.73	0.481909
0.74	0.477114
0.75	0.472367
0.76	0.467666
0.77	0.463013
0.78	0.458406
0.79	0.453845
0.8	0.449329
0.81	0.444858
0.82	0.440432
0.83	0.436049
0.84	0.431711
0.85	0.427415
0.86	0.423162
0.87	0.418952
0.88	0.414783
0.89	0.410656
0.9	0.40657
0.91	0.402524
0.92	0.398519
0.93	0.394554
0.94	0.390628
0.95	0.386741
0.96	0.382893
0.97	0.379083
0.98	0.375311
0.99	0.371577
1	0.367879
1.01	0.364219
1.02	0.360595
1.03	0.357007
1.04	0.353455
1.05	0.349938
1.06	0.346456
1.07	0.343009
1.08	0.339596
1.09	0.336216
1.1	0.332871
1.11	0.329559
1.12	0.32628
1.13	0.323033
1.14	0.319819
1.15	0.316637
1.16	0.313486
1.17	0.310367
1.18	0.307279
1.19	0.304221
1.2	0.301194
1.21	0.298197
1.22	0.29523
1.23	0.292293
1.24	0.289384
1.25	0.286505
1.26	0.283654
1.27	0.280832
1.28	0.278037
1.29	0.275271
1.3	0.272532
1.31	0.26982
1.32	0.267135
1.33	0.264477
1.34	0.261846
1.35	0.25924
1.36	0.256661
1.37	0.254107
1.38	0.251579
1.39	0.249075
1.4	0.246597
1.41	0.244143
1.42	0.241714
1.43	0.239309
1.44	0.236928
1.45	0.23457
1.46	0.232236
1.47	0.229925
1.48	0.227638
1.49	0.225373
1.5	0.22313
1.51	0.22091
1.52	0.218712
1.53	0.216536
1.54	0.214381
1.55	0.212248
1.56	0.210136
1.57	0.208045
1.58	0.205975
1.59	0.203926
1.6	0.201897
1.61	0.199888
1.62	0.197899
1.63	0.19593
1.64	0.19398
1.65	0.19205
1.66	0.190139
1.67	0.188247
1.68	0.186374
1.69	0.18452
1.7	0.182684
1.71	0.180866
1.72	0.179066
1.73	0.177284
1.74	0.17552
1.75	0.173774
1.76	0.172045
