# x	Norm
0	2.02237e-09
0.001	2.09553e-09
0.002	2.17126e-09
0.003	2.24965e-09
0.004	2.33079e-09
0.005	2.41477e-09
0.006	2.5017e-09
0.007	2.59167e-09
0.008	2.68479e-09
0.009	2.78115e-09
0.01	2.88088e-09
0.011	2.98409e-09
0.012	3.09088e-09
0.013	3.2014e-09
0.014	3.31575e-09
0.015	3.43407e-09
0.016	3.55649e-09
0.017	3.68315e-09
0.018	3.81419e-09
0.019	3.94976e-09
0.02	4.09002e-09
0.021	4.23511e-09
0.022	4.3852e-09
0.023	4.54046e-09
0.024	4.70105e-09
0.025	4.86716e-09
0.026	5.03897e-09
0.027	5.21667e-09
0.028	5.40046e-09
0.029	5.59053e-09
0.03	5.7871e-09
0.031	5.99037e-09
0.032	6.20058e-09
0.033	6.41794e-09
0.034	6.64271e-09
0.035	6.87511e-09
0.036	7.1154e-09
0.037	7.36385e-09
0.038	7.62071e-09
0.039	7.88626e-09
0.04	8.1608e-09
0.041	8.44461e-09
0.042	8.73799e-09
0.043	9.04126e-09
0.044	9.35474e-09
0.045	9.67877e-09
0.046	1.00137e-08
0.047	1.03598e-08
0.048	1.07176e-08
0.049	1.10873e-08
0.05	1.14694e-08
0.051	1.18643e-08
0.052	1.22724e-08
0.053	1.2694e-08
0.054	1.31297e-08
0.055	1.358e-08
0.056	1.40451e-08
0.057	1.45258e-08
0.058	1.50223e-08
0.059	1.55353e-08
0.06	1.60653e-08
0.061	1.66128e-08
0.062	1.71784e-08
0.063	1.77627e-08
0.064	1.83662e-08
0.065	1.89896e-08
0.066	1.96334e-08
0.067	2.02985e-08
0.068	2.09853e-08
0.069	2.16946e-08
0.07	2.24272e-08
0.071	2.31837e-08
0.072	2.3965e-08
0.073	2.47717e-08
0.074	2.56048e-08
0.075	2.64649e-08
0.076	2.73531e-08
0.077	2.827e-08
0.078	2.92168e-08
0.079	3.01942e-08
0.08	3.12033e-08
0.081	3.22451e-08
0.082	3.33204e-08
0.083	3.44305e-08
