# x	Phi
-100	0.0136236
-99.8	0.0136596
-99.6	0.0136957
-99.4	0.0137319
-99.2	0.0137682
-99	0.0138046
-98.8	0.0138411
-98.6	0.0138776
-98.4	0.0139143
-98.2	0.013951
-98	0.0139879
-97.8	0.0140249
-97.6	0.0140619
-97.4	0.014099
-97.2	0.0141363
-97	0.0141736
-96.8	0.0142111
-96.6	0.0142486
-96.4	0.0142862
-96.2	0.0143239
-96	0.0143618
-95.8	0.0143997
-95.6	0.0144377
-95.4	0.0144758
-95.2	0.0145141
-95	0.0145524
-94.8	0.0145908
-94.6	0.0146293
-94.4	0.0146679
-94.2	0.0147066
-94	0.0147455
-93.8	0.0147844
-93.6	0.0148234
-93.4	0.0148625
-93.2	0.0149018
-93	0.0149411
-92.8	0.0149805
-92.6	0.0150201
-92.4	0.0150597
-92.2	0.0150994
-92	0.0151393
-91.8	0.0151792
-91.6	0.0152193
-91.4	0.0152594
-91.2	0.0152997
-91	0.01534
-90.8	0.0153805
-90.6	0.0154211
-90.4	0.0154617
-90.2	0.0155025
-90	0.0155434
-89.8	0.0155844
-89.6	0.0156255
-89.4	0.0156667
-89.2	0.015708
-89	0.0157495
-88.8	0.015791
-88.6	0.0158326
-88.4	0.0158744
-88.2	0.0159162
-88	0.0159582
-87.8	0.0160003
-87.6	0.0160424
-87.4	0.0160847
-87.2	0.0161271
-87	0.0161696
-86.8	0.0162123
-86.6	0.016255
-86.4	0.0162978
-86.2	0.0163408
-86	0.0163838
-85.8	0.016427
-85.6	0.0164703
-85.4	0.0165137
-85.2	0.0165572
-85	0.0166008
-84.8	0.0166446
-84.6	0.0166884
-84.4	0.0167324
-84.2	0.0167765
-84	0.0168206
-83.8	0.0168649
-83.6	0.0169094
-83.4	0.0169539
-83.2	0.0169986
-83	0.0170433
-82.8	0.0170882
-82.6	0.0171332
-82.4	0.0171783
-82.2	0.0172235
-82	0.0172689
-81.8	0.0173144
-81.6	0.0173599
-81.4	0.0174056
-81.2	0.0174515
-81	0.0174974
-80.8	0.0175435
-80.6	0.0175896
-80.4	0.0176359
-80.2	0.0176823
-80	0.0177289
-79.8	0.0177755
-79.6	0.0178223
-79.4	0.0178692
-79.2	0.0179162
-79	0.0179633
-78.8	0.0180106
-78.6	0.018058
-78.4	0.0181055
-78.2	0.0181531
-78	0.0182009
-77.8	0.0182487
-77.6	0.0182967
-77.4	0.0183449
-77.2	0.0183931
-77	0.0184415
-76.8	0.01849
-76.6	0.0185386
-76.4	0.0185873
-76.2	0.0186362
-76	0.0186852
-75.8	0.0187343
-75.6	0.0187836
-75.4	0.018833
-75.2	0.0188825
-75	0.0189321
-74.8	0.0189818
-74.6	0.0190317
-74.4	0.0190818
-74.2	0.0191319
-74	0.0191822
-73.8	0.0192326
-73.6	0.0192831
-73.4	0.0193338
-73.2	0.0193846
-73	0.0194355
-72.8	0.0194865
-72.6	0.0195377
-72.4	0.0195891
-72.2	0.0196405
-72	0.0196921
-71.8	0.0197438
-71.6	0.0197957
-71.4	0.0198476
-71.2	0.0198998
-71	0.019952
-70.8	0.0200044
-70.6	0.0200569
-70.4	0.0201096
-70.2	0.0201624
-70	0.0202153
-69.8	0.0202683
-69.6	0.0203215
-69.4	0.0203749
-69.2	0.0204284
-69	0.020482
-68.8	0.0205357
-68.6	0.0205896
-68.4	0.0206436
-68.2	0.0206978
-68	0.0207521
-67.8	0.0208065
-67.6	0.0208611
-67.4	0.0209158
-67.2	0.0209707
-67	0.0210257
-66.8	0.0210808
-66.6	0.0211361
-66.4	0.0211916
-66.2	0.0212471
-66	0.0213028
-65.8	0.0213587
-65.6	0.0214147
-65.4	0.0214708
-65.2	0.0215271
-65	0.0215835
-64.8	0.0216401
-64.6	0.0216968
-64.4	0.0217537
-64.2	0.0218107
-64	0.0218679
-63.8	0.0219252
-63.6	0.0219826
-63.4	0.0220402
-63.2	0.022098
-63	0.0221559
-62.8	0.0222139
-62.6	0.0222721
-62.4	0.0223304
-62.2	0.0223889
-62	0.0224476
-61.8	0.0225063
-61.6	0.0225653
-61.4	0.0226244
-61.2	0.0226836
-61	0.022743
-60.8	0.0228025
-60.6	0.0228622
-60.4	0.0229221
-60.2	0.0229821
-60	0.0230422
-59.8	0.0231025
-59.6	0.023163
-59.4	0.0232236
-59.2	0.0232844
-59	0.0233453
-58.8	0.0234064
-58.6	0.0234676
-58.4	0.023529
-58.2	0.0235906
-58	0.0236523
-57.8	0.0237142
-57.6	0.0237762
-57.4	0.0238384
-57.2	0.0239007
-57	0.0239632
-56.8	0.0240259
-56.6	0.0240887
-56.4	0.0241517
-56.2	0.0242148
-56	0.0242781
-55.8	0.0243416
-55.6	0.0244052
-55.4	0.024469
-55.2	0.0245329
-55	0.024597
-54.8	0.0246613
-54.6	0.0247257
-54.4	0.0247903
-54.2	0.0248551
-54	0.02492
-53.8	0.0249851
-53.6	0.0250504
-53.4	0.0251158
-53.2	0.0251814
-53	0.0252472
-52.8	0.0253131
-52.6	0.0253792
-52.4	0.0254455
-52.2	0.0255119
-52	0.0255785
-51.8	0.0256453
-51.6	0.0257122
-51.4	0.0257793
-51.2	0.0258466
-51	0.0259141
-50.8	0.0259817
-50.6	0.0260495
-50.4	0.0261175
-50.2	0.0261856
-50	0.0262539
-49.8	0.0263224
-49.6	0.0263911
-49.4	0.0264599
-49.2	0.0265289
-49	0.0265981
-48.8	0.0266675
-48.6	0.026737
-48.4	0.0268067
-48.2	0.0268766
-48	0.0269467
-47.8	0.0270169
-47.6	0.0270873
-47.4	0.0271579
-47.2	0.0272287
-47	0.0272997
-46.8	0.0273708
-46.6	0.0274421
-46.4	0.0275136
-46.2	0.0275853
-46	0.0276572
-45.8	0.0277292
-45.6	0.0278014
-45.4	0.0278738
-45.2	0.0279464
-45	0.0280192
-44.8	0.0280922
-44.6	0.0281653
-44.4	0.0282386
-44.2	0.0283122
-44	0.0283859
-43.8	0.0284597
-43.6	0.0285338
-43.4	0.0286081
-43.2	0.0286825
-43	0.0287572
-42.8	0.028832
-42.6	0.028907
-42.4	0.0289822
-42.2	0.0290576
-42	0.0291332
-41.8	0.0292089
-41.6	0.0292849
-41.4	0.0293611
-41.2	0.0294374
-41	0.029514
-40.8	0.0295907
-40.6	0.0296676
-40.4	0.0297447
-40.2	0.029822
-40	0.0298996
-39.8	0.0299773
-39.6	0.0300552
-39.4	0.0301333
-39.2	0.0302115
-39	0.03029
-38.8	0.0303687
-38.6	0.0304476
-38.4	0.0305267
-38.2	0.030606
-38	0.0306855
-37.8	0.0307651
-37.6	0.030845
-37.4	0.0309251
-37.2	0.0310054
-37	0.0310859
-36.8	0.0311666
-36.6	0.0312475
-36.4	0.0313286
-36.2	0.0314099
-36	0.0314914
-35.8	0.0315731
-35.6	0.031655
