# Longevidade	Quantidade
0	0.00125
0.014144	0.0025
0.0218654	0.00375
0.0226592	0.005
0.0263395	0.00625
0.0290817	0.0075
0.0294426	0.00875
0.030092	0.01
0.0303807	0.01125
0.0320404	0.0125
0.0325456	0.01375
0.0342053	0.015
0.034494	0.01625
0.0347105	0.0175
0.0348548	0.01875
0.0352156	0.02
0.0360094	0.02125
0.0363702	0.0225
0.0365867	0.02375
0.0368754	0.025
0.0405557	0.02625
0.0424319	0.0275
0.0449576	0.02875
0.0462566	0.03
0.0476998	0.03125
0.0478442	0.0325
0.0491431	0.03375
0.0512358	0.035
0.0526791	0.03625
0.0536894	0.0375
0.0547718	0.03875
0.0550605	0.04
0.0554935	0.04125
0.0555656	0.0425
0.05838	0.04375
0.0594624	0.045
0.0602562	0.04625
0.0609057	0.0475
0.0629263	0.04875
0.0632149	0.05
0.0644417	0.05125
0.0652355	0.0525
0.0710807	0.05375
0.071225	0.055
0.0717302	0.056875
0.0723075	0.05875
0.0731013	0.06
0.0733178	0.06125
0.0752662	0.0625
0.075627	0.06375
0.0758435	0.065
0.0771424	0.06625
0.0773589	0.0675
0.0783692	0.06875
0.0804619	0.07
0.0809671	0.07125
0.0811835	0.0725
0.0833484	0.07375
0.0842866	0.075
0.0847917	0.07625
0.0857298	0.0775
0.0860906	0.07875
0.086235	0.08
0.0863071	0.08125
0.0869566	0.0825
0.0881112	0.08375
0.089338	0.085
0.0896988	0.08625
0.0910699	0.0875
0.0933069	0.08875
0.0936678	0.09
0.0941729	0.09125
0.0943894	0.0925
0.0944616	0.09375
0.095111	0.095
0.098214	0.09625
0.0987913	0.0975
0.0989357	0.09875
0.0990078	0.1
0.102544	0.10125
0.105142	0.1025
0.105936	0.10375
0.106368	0.105
0.106657	0.10625
0.107379	0.1075
0.107667	0.10875
0.109616	0.11
0.110915	0.11125
0.111564	0.1125
0.111636	0.11375
0.112935	0.115
0.115461	0.11625
0.118059	0.1175
0.119069	0.11875
0.120296	0.12
0.120657	0.12125
0.128883	0.1225
0.136316	0.124375
0.13812	0.12625
0.140141	0.1275
0.140574	0.12875
0.140718	0.130625
0.142811	0.1325
0.14678	0.13375
0.147574	0.135
0.149161	0.13625
0.151903	0.1375
0.152409	0.13875
0.154068	0.14
0.156161	0.14125
0.160563	0.1425
0.16114	0.14375
0.162872	0.145
0.165759	0.14625
0.169078	0.1475
0.172903	0.14875
0.173192	0.15
0.173408	0.15125
0.176367	0.1525
0.176583	0.15375
0.177449	0.155
0.177882	0.15625
0.178748	0.1575
0.180913	0.15875
0.181129	0.16
0.181923	0.16125
0.183367	0.1625
0.18481	0.16375
0.188923	0.165
0.189067	0.16625
0.190439	0.1675
0.192748	0.16875
0.193181	0.17
0.19448	0.17125
0.195057	0.1725
0.196356	0.17375
0.198882	0.175
0.200253	0.17625
0.200541	0.1775
0.202057	0.17875
0.202778	0.18
0.203933	0.18125
0.204366	0.1825
0.204799	0.18375
0.205232	0.185
0.205809	0.18625
0.206242	0.1875
0.213531	0.18875
0.214974	0.19
0.216489	0.191875
0.218005	0.19375
0.219015	0.195
0.223922	0.19625
0.224283	0.1975
0.225366	0.19875
0.226304	0.2
0.227458	0.20125
0.22753	0.2025
0.229623	0.20375
0.22984	0.205
0.2302	0.20625
0.230345	0.2075
0.231211	0.20875
0.231644	0.21
0.233809	0.21125
0.237417	0.2125
0.237705	0.21375
0.240159	0.215
0.240375	0.21625
0.24052	0.2175
0.241169	0.21875
0.241747	0.22
0.245066	0.22125
0.245283	0.2225
0.250623	0.22375
0.250767	0.225
0.251489	0.22625
0.252788	0.2275
0.253942	0.22875
0.255385	0.23
0.258272	0.23125
0.258416	0.2325
0.259787	0.23375
0.262457	0.235
0.266643	0.23625
0.266931	0.2375
0.271478	0.23875
0.275952	0.24
0.277323	0.24125
0.277395	0.2425
0.278622	0.24375
0.28021	0.245
0.282302	0.24625
0.285694	0.2475
0.286921	0.24875
0.289158	0.25
0.289446	0.25125
0.295652	0.2525
0.295869	0.25375
0.296879	0.255
0.297817	0.25625
0.302941	0.2575
0.306044	0.25875
0.30626	0.26
0.307343	0.26125
0.308064	0.2625
0.30958	0.26375
0.314559	0.265
0.316941	0.26625
0.318023	0.2675
0.319466	0.26875
0.319538	0.27
0.321126	0.27125
0.324301	0.2725
0.324878	0.27375
0.3256	0.275
0.326177	0.27625
0.327043	0.2775
0.328847	0.27875
0.329064	0.28
0.332456	0.28125
0.333394	0.2825
0.33426	0.28375
0.334837	0.285
0.336569	0.28625
0.338301	0.2875
0.338517	0.28875
0.339311	0.29
0.339672	0.29125
0.340466	0.2925
0.341837	0.29375
0.342414	0.295
0.345373	0.29625
0.346239	0.2975
0.347393	0.29875
0.34927	0.3
0.35129	0.30125
0.353166	0.3025
0.353888	0.30375
0.356414	0.305
0.35728	0.306875
0.361032	0.30875
0.36197	0.31
0.366084	0.31125
0.36731	0.3125
0.367383	0.31375
0.372795	0.315
0.373083	0.31625
0.374671	0.3175
0.37496	0.31875
0.376692	0.32
0.377269	0.32125
0.378063	0.3225
0.382537	0.32375
0.384052	0.325
0.384124	0.32625
0.385423	0.3275
0.386794	0.32875
0.387227	0.33
0.387805	0.33125
0.392928	0.333125
0.395743	0.335
0.396248	0.33625
0.398196	0.3375
0.400289	0.33875
0.403103	0.34
0.403392	0.34125
0.404114	0.3425
0.409382	0.34375
0.413278	0.345
0.41566	0.34625
0.417536	0.3475
0.418691	0.34875
0.41999	0.35
0.42367	0.35125
0.424031	0.3525
0.425763	0.35375
0.428216	0.355
0.429082	0.35625
0.431752	0.3575
0.432474	0.35875
0.432835	0.36
