# Longevidade	Quantidade
0.0639217	0.86892
0.128061	0.887775
0.255033	0.721219
0.383675	0.69765
0.509993	0.604944
0.6382	0.515381
0.763864	0.427389
0.891998	0.362967
1.01977	0.298544
1.14885	0.285974
1.27487	0.256119
1.40286	0.215266
1.52991	0.218408
1.65688	0.160271
1.78334	0.153986
1.91184	0.146129
2.03845	0.114704
2.17007	0.094277
2.29275	0.12256
2.4198	0.0864206
2.54917	0.0691365
2.68122	0.0628514
2.81183	0.0502811
2.93517	0.0502811
3.06207	0.0377108
3.19645	0.0392821
3.34136	0.0267118
3.4594	0.0298544
3.57693	0.0267118
3.69438	0.0282831
3.83494	0.0157128
3.95051	0.0235693
4.07922	0.0377108
4.22225	0.0204267
4.37137	0.0141416
4.52268	0.0125703
4.60854	0.0157128
4.81141	0.00314257
4.86255	0.00785642
5.01219	0.00628514
5.16073	0.00471385
5.36899	0.00157128
5.3971	0.00628514
5.51484	0.00314257
5.74227	0.00157128
5.74736	0.00314257
6.02469	0.00628514
6.18384	0.00314257
6.6719	0.00157128
6.77396	0.00157128
6.97516	0.00157128
7.18574	0.00157128
7.74978	0.00157128
