# Tempo	Potencial
1	72.5045
2	79.4287
3	70.0941
4	62.0815
5	61.6787
6	63.6415
7	65.0964
8	64.9514
9	64.555
10	63.406
11	64.6491
12	64.3734
13	64.1336
14	64.9051
15	65.6956
16	65.6509
17	65.6729
18	65.1775
19	65.4156
20	64.2115
21	64.5504
22	63.8142
23	64.038
24	65.3195
25	65.6798
26	65.8965
27	65.7819
28	66.4964
29	64.2255
30	63.1313
31	64.3267
32	65.2978
33	65.5478
34	64.5737
35	64.7735
36	64.4878
37	64.7154
38	65.4237
39	63.9238
40	63.6073
41	65.3271
42	64.451
43	65.1116
44	63.7435
45	64.1478
46	63.8676
47	65.5121
48	65.3813
49	64.197
50	66.1216
51	64.4727
52	65.0226
53	64.478
54	65.0823
55	64.9806
56	63.8754
57	64.417
58	64.2645
59	64.1944
60	64.1792
61	63.8651
62	64.5372
63	63.9075
64	66.0008
65	65.6234
66	65.1567
67	63.9953
68	64.7188
69	65.5234
70	65.4957
71	63.8348
72	63.9084
73	64.8536
74	64.2786
75	61.8125
76	61.8323
77	64.6676
78	65.2401
79	64.9917
80	63.3746
81	63.9618
82	65.3361
83	66.1937
84	64.2345
85	65.3794
86	64.1296
87	65.7314
88	65.5188
89	64.9607
90	64.7907
91	65.8143
92	63.926
93	62.9771
94	63.3042
95	64.8961
96	65.2656
97	64.9049
98	63.754
99	64.5342
100	64.2854
101	64.6818
102	64.5001
103	63.5472
104	64.8191
105	65.2854
106	65.0499
107	64.3197
108	63.8111
109	62.6866
110	63.7375
111	64.3024
112	63.8766
113	64.509
114	64.2917
115	64.0682
116	63.513
117	64.6758
118	64.3068
119	63.5686
120	64.9971
121	64.4555
122	65.4219
123	64.804
124	65.4477
125	65.2118
126	63.8887
127	62.8388
128	64.4075
129	65.344
130	66.1612
131	64.8085
132	64.1018
133	63.9361
134	63.5064
135	64.1378
136	63.2126
137	63.8776
138	64.5125
139	64.198
140	63.003
141	63.449
142	64.6811
143	64.7658
144	64.6689
145	63.935
146	63.9192
147	64.3095
148	64.0857
149	64.7231
150	66.3325
151	65.2846
152	64.9703
153	64.0161
154	64.1839
155	63.8579
156	64.9022
157	64.8999
158	65.3615
159	64.4702
160	64.9521
161	64.38
162	64.6415
163	64.5287
164	64.6338
165	65.5368
166	65.4572
