# Tempo	Disparos
1	16
2	25
3	36
4	30
5	29
6	25
7	23
8	32
9	28
10	17
11	27
12	18
13	29
14	29
15	26
16	26
17	32
18	31
19	26
20	27
21	29
22	23
23	16
24	23
25	32
26	20
27	21
28	28
29	25
30	23
31	25
32	23
33	25
34	27
35	25
36	26
37	26
38	27
39	25
40	19
41	22
42	22
43	25
44	28
45	29
46	27
47	35
48	28
49	22
50	22
51	14
52	16
53	27
54	27
55	28
56	37
57	21
58	27
59	26
60	21
61	27
62	22
63	24
64	25
65	32
66	22
67	26
68	30
69	24
70	34
71	28
72	23
73	29
74	25
75	22
76	24
77	34
78	24
79	20
80	19
81	19
82	23
83	31
84	32
85	27
86	25
87	18
88	25
89	29
90	30
91	37
92	26
93	21
94	27
95	28
96	19
97	28
98	24
99	30
100	24
101	33
102	22
103	20
104	24
105	26
106	29
107	29
108	31
109	21
110	30
111	29
112	17
113	25
114	28
115	24
116	25
117	28
118	24
119	31
120	30
121	24
122	18
123	20
124	28
125	27
126	23
127	28
128	22
129	29
130	26
131	26
132	26
133	23
134	33
135	26
136	21
137	33
138	27
139	28
140	24
141	30
142	15
143	26
144	24
145	35
146	20
147	29
148	27
149	24
150	29
151	28
152	27
153	23
154	30
155	24
156	22
157	27
158	34
159	32
160	24
161	23
162	30
163	25
164	27
165	26
166	26
167	28
168	25
169	29
170	28
171	24
172	23
173	23
174	20
175	28
176	31
177	17
178	26
179	35
180	32
181	25
182	20
183	18
184	22
185	24
186	22
187	28
188	25
189	34
190	20
191	27
192	25
193	23
194	25
195	30
196	21
197	27
198	21
199	25
200	26
201	26
202	22
203	28
204	26
205	27
206	24
207	26
208	27
209	29
210	21
211	28
212	28
213	23
214	25
215	28
216	32
217	30
218	24
219	29
220	25
221	22
222	20
223	19
224	26
225	33
226	23
227	25
228	25
229	23
230	23
231	25
232	31
233	23
234	35
235	28
236	18
237	20
238	27
239	29
240	28
241	30
242	26
243	23
244	23
245	26
246	27
247	30
248	28
249	25
250	23
251	34
252	26
253	26
254	20
255	34
256	30
257	26
258	21
259	25
260	32
261	23
262	25
263	25
264	23
265	24
266	27
267	35
268	26
269	25
270	24
271	26
272	31
273	25
274	27
275	17
276	20
277	24
278	31
279	21
280	22
281	26
282	32
283	32
284	27
285	32
286	22
287	22
288	19
289	21
290	29
291	30
292	29
293	22
294	18
295	24
296	25
297	26
298	21
299	28
