# Tempo	Probabilidade
1	0.450063
2	1.38778e-17
3	0.261793
4	0.492262
5	1.38778e-17
6	0.196539
7	1.38778e-17
8	0.129807
9	0.564751
10	1.38778e-17
11	0.137309
12	0.545615
13	1.38778e-17
14	0.108712
15	0.432921
16	0.722243
17	0.861443
18	1.38778e-17
19	0.145049
20	0.580044
21	1.38778e-17
22	0.141149
23	0.471074
24	1.38778e-17
25	0.149009
26	0.463574
27	1.38778e-17
28	0.129807
29	0.349207
30	1.38778e-17
31	0.115511
32	0.494126
33	0.804109
34	0.901345
35	1.38778e-17
36	0.220518
37	0.575951
38	1.38778e-17
39	0.210753
40	0.617103
41	0.836785
42	1.38778e-17
43	0.187358
44	0.482929
45	1.38778e-17
46	0.145049
47	0.482929
48	1.38778e-17
49	0.169712
50	0.447933
51	0.778561
52	1.38778e-17
53	0.210753
54	0.516989
55	1.38778e-17
56	0.261793
57	0.523124
58	1.38778e-17
59	0.196539
60	0.561188
61	0.762193
62	0.894049
63	1.38778e-17
64	0.300571
65	0.4692
66	0.802228
67	1.38778e-17
68	0.102141
69	0.360061
70	0.749106
71	1.38778e-17
72	0.115511
73	1.38778e-17
74	0.169712
75	0.522512
76	0.766882
77	1.38778e-17
78	0.174034
79	0.51576
80	1.38778e-17
81	0.0808886
82	0.364306
83	0.639062
84	1.38778e-17
85	0.149009
86	1.38778e-17
87	0.145049
88	0.451687
89	0.790784
90	1.38778e-17
91	0.169712
92	0.504041
93	0.789304
94	1.38778e-17
95	0.149009
96	0.482306
97	0.763677
98	1.38778e-17
99	0.187358
100	0.619876
101	1.38778e-17
102	0.205956
103	0.449184
104	0.740783
105	1.38778e-17
106	0.122542
107	0.499088
108	1.38778e-17
109	0.210753
110	0.553427
111	0.77276
112	1.38778e-17
113	0.145049
114	1.38778e-17
115	0.141149
116	1.38778e-17
117	0.129807
118	0.398058
119	0.807629
120	0.883911
121	0.931411
122	1.38778e-17
123	0.174034
124	1.38778e-17
125	0.0957952
126	0.479189
127	0.754201
128	0.863233
129	1.38778e-17
130	0.191919
131	0.476069
132	1.38778e-17
133	0.137309
134	0.477941
135	1.38778e-17
136	0.201219
137	1.38778e-17
138	0.196539
139	0.590484
140	0.852716
141	1.38778e-17
142	0.16125
143	0.595081
144	1.38778e-17
145	0.145049
146	0.389409
147	1.38778e-17
148	0.196539
149	0.450436
150	0.783342
151	1.38778e-17
152	0.129807
153	0.528627
154	1.38778e-17
155	0.205956
156	0.51145
157	1.38778e-17
158	0.205956
159	0.541992
160	0.780965
161	1.38778e-17
162	0.182857
163	0.538966
164	1.38778e-17
165	0.210753
166	1.38778e-17
167	0.133528
168	0.509601
169	0.751865
170	1.38778e-17
171	0.137309
172	0.515145
173	1.38778e-17
174	0.174034
175	0.44105
176	1.38778e-17
177	0.182857
178	1.38778e-17
179	0.133528
180	0.599083
181	0.772833
182	1.38778e-17
183	0.272636
184	0.51576
185	1.38778e-17
186	0.153029
187	0.500328
188	0.834938
189	1.38778e-17
190	0.182857
191	1.38778e-17
192	0.16125
193	0.535932
194	1.38778e-17
195	0.191919
196	0.476069
197	0.799015
198	1.38778e-17
199	0.115511
200	0.456693
201	1.38778e-17
202	0.102141
203	0.42168
204	1.38778e-17
205	0.215606
206	1.38778e-17
207	0.145049
208	0.476693
209	1.38778e-17
210	0.165451
211	0.454816
212	0.756125
213	1.38778e-17
214	0.129807
215	0.454191
216	1.38778e-17
217	0.210753
218	0.559402
219	0.829024
220	1.38778e-17
221	0.16125
222	0.492884
223	0.812687
224	1.38778e-17
225	0.16125
226	0.505278
227	0.796528
228	1.38778e-17
229	0.225485
230	1.38778e-17
231	0.165451
232	0.404877
233	0.734969
234	1.38778e-17
235	0.201219
236	0.530456
237	1.38778e-17
238	0.126145
239	0.473572
240	1.38778e-17
241	0.240723
242	1.38778e-17
243	0.178415
244	0.66359
245	0.79924
246	1.38778e-17
247	0.196539
248	0.537147
249	1.38778e-17
250	0.201219
251	0.493505
252	1.38778e-17
253	0.16125
254	0.492884
255	1.38778e-17
256	0.187358
257	1.38778e-17
258	0.129807
259	0.564751
260	1.38778e-17
261	0.16125
262	0.486665
263	0.766056
264	0.891232
265	1.38778e-17
266	0.215606
267	0.528627
268	1.38778e-17
269	0.16125
270	0.474197
271	0.791586
272	1.38778e-17
273	0.137309
274	0.42168
275	0.760891
276	1.38778e-17
277	0.141149
278	1.38778e-17
279	0.105398
280	1.38778e-17
281	0.225485
282	1.38778e-17
283	0.153029
284	0.494126
285	0.79776
286	1.38778e-17
287	0.129807
288	0.441676
289	1.38778e-17
290	0.169712
291	0.491641
292	0.779625
293	1.38778e-17
294	0.0989403
295	0.409847
296	1.38778e-17
297	0.225485
298	0.515145
299	1.38778e-17
300	0.115511
