# Tempo	Probabilidade
0.2	0.0559461
0.4	0.0604757
0.6	0.0669646
0.8	0.0738785
1	0.0811143
1.2	0.0890116
1.4	0.0967361
1.6	0.105222
1.8	0.113528
2	0.121952
2.2	0.130581
2.4	0.139244
2.6	0.147967
2.8	0.156833
3	0.165582
3.2	0.174535
3.4	0.18298
3.6	0.191906
3.8	0.200942
4	0.209352
4.2	0.218011
4.4	0.227076
4.6	0.23582
4.8	0.244871
5	0.253886
5.2	0.262026
5.4	0.271644
5.6	0.280474
5.8	0.289959
6	0.298564
6.2	0.306975
6.4	0.316411
6.6	0.325563
6.8	0.334378
7	0.344085
7.2	0.352985
7.4	0.361781
7.6	0.370315
7.8	0.38009
8	0.388203
8.2	0.396406
8.4	0.405893
8.6	0.412876
8.8	0.421019
9	0.429012
9.2	0.437872
9.4	0.444924
9.6	0.453842
9.8	0.461291
10	0.469894
10.2	0.478393
10.4	0.486682
10.6	0.495967
10.8	0.504463
11	0.512886
11.2	0.522434
11.4	0.531562
11.6	0.540479
11.8	0.551326
12	0.561143
12.2	0.570745
12.4	0.581594
12.6	0.592529
12.8	0.600298
13	0.610738
13.2	0.621323
13.4	0.629883
13.6	0.642567
13.8	0.651723
14	0.661615
14.2	0.67068
14.4	0.681282
14.6	0.690157
14.8	0.700463
15	0.709878
15.2	0.719675
15.4	0.728693
15.6	0.737906
15.8	0.746873
16	0.754372
16.2	0.76307
16.4	0.772784
16.6	0.77838
16.8	0.788081
17	0.794502
17.2	0.804228
17.4	0.81083
17.6	0.817762
17.8	0.825332
18	0.833197
18.2	0.838807
18.4	0.844847
18.6	0.85226
18.8	0.856792
19	0.863078
19.2	0.869261
19.4	0.873738
19.6	0.879088
19.8	0.884427
20	0.890102
